artist,track,spotify_url
OBOY,Elvira,05o4kr6fEuiOglJ9Vrt7Eo
OBOY,Armada,0NOsqjim8zDnjXLYULEnqv
J Balvin,In Da Getto,7x6PJqXp7ETINhz0TgzbGb
OBOY,No blata,6x6Isl0v3CsAmbbORhewTL
Central Cee,Obsessed With You,4oxGI8yyghLuMV7ybRG3kg
Soolking,Bye Bye,5cyYphxofHgRspEKNn3UTl
Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3
Booba,Arc-en-ciel,07qHCBBSRswIsfs0waYdjC
PNL,Au DD,5lCxlSBFyP5g4EhVypAoOu
Ed Sheeran & Justin Bieber,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns
Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4
Ninho,Goutte d'eau,0rQbvQpjQ6QeeCAnVRzokf
Ninho,Putana,5oePa8PlOTPAlRaGs2OZ3A
PNL,Deux frères,6hzi3AGB39FjxFqcjgbWs7
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf
Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk
Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF
Ozuna,Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt
PNL,Blanka,295SxdR1DqunCNwd0U767w
Djadja & Dinaz,Possédé,6g8Waa9vcFQP1FElldjfRr
Calvin Harris,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd
PNL,Chang,03hV7gDsUl3vSPu6XZDMst
Ninho,À Kinshasa (feat. Fally Ipupa),7bLy8fxBMroDuV0zxwGSn6
PNL,Hasta la vista,6YHnhfw8yMCx4vZvsgem3D
Ninho,Jamais (feat. Dadju),6nIr35G9lVYMcuedV4NY2t
Trois Cafés Gourmands,À nos souvenirs,3LgrzjwX7RVTtAX9Ai12Qm
PNL,Shenmue,5yG1hATarGbs4BUJdc2ob6
Roméo Elvis,Malade,35e7ckbWgHjHI9n3oL6jnd
Ninho,Money (feat. Faouzia),1NUC8l1gq50VuHzmWRMA2G
PNL,Zoulou tchaing,1gRMO4h3NGb1ZJA7TNdMPj
Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3
M. Pokora,Les planètes,71I3Tqq9fCOSceVpluOqJN
Heuss L'enfoiré,Aristocrate,7gNlaZaMIjRUfnAYd9Dvmt
Marwa Loud,Oh la folle,5fW4TKcWuk4hgasD60JyZv
PNL,Autre monde,2aG2nLUd8NNI7vFuOLBCe0
Gavin James,Always,1omCB9Mch8tYugUptnJ0vw
Stephen Schwartz,"Dancing Through Life - From ""Wicked"" Original Broadway Cast Recording/2003",45Yr7rD2vH3OsTRseT6gfA
Dinos,Chrome Hearts,6OhaunEHa10FjmOMFuxy38
Dinos,Portes Suicide,6ZcKyt3c0bnJjn4igDFrzf
Dinos,Ma Baby,2jEGvVyqXUxsHAELiW9YuH
Dinos,Pichichi Anderson,0RwNWOrgD7nrpf1xaboLcU
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB
Dinos,AMG Performance,17hT2nm4w2HvqFVWJ87Pw4
Dinos,Modus Vivendi,4g2lY55s8TgQDHamXmfs3z
Dinos,Simyaci,3NxhOk9Ewg6pFff3Dk4G3i
Dinos,Quatre Saisons,4Q2dD11casdhNZOoTP8VjW
Dinos,Par Amour,59biiIPxhjNizg6EKBC7ge
Franglish,Sécu,4gKK7isWbSb9c0C7i5jsKv
Gambi,PETETE,0z3bi63SNZ5ylyHOzb81Uq
