track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
RENCONTRE,Disiz,spotify:track:2toEys3zZ8rRB242Na7FZh,0.62,0.458,2,-10.557,1,0.269,0.521,0.0,0.11,0.518,125.132,198397,4
Degaine (feat. Damso),Aya Nakamura,spotify:track:5cqLFudVQryezmVFmmyRJN,0.618,0.698,10,-5.362,0,0.272,0.181,0.0,0.154,0.784,178.143,210958,4
Suavemente,Soolking,spotify:track:6Qe7YCkIOc1iaw9HKqO3qV,0.862,0.696,0,-4.519,1,0.0538,0.326,0.0046700000000000005,0.0418,0.519,140.018,159360,4
On se reverra plus (feat. Gazo),DA Uzi,spotify:track:0RlsG2tl1JE53HC2zbeGnU,0.6629999999999999,0.715,0,-5.239,0,0.195,0.383,0.0,0.104,0.517,144.901,179040,4
Santa Maria,RIDSA,spotify:track:3wfQEIvOfeVkXgGZogK3gL,0.664,0.6559999999999999,7,-7.089,1,0.0399,0.408,0.0,0.246,0.562,169.97799999999995,189520,4
Mal de toi,Lyna Mahyem,spotify:track:40TygTjPf57a3iste6u7Bz,0.6990000000000001,0.304,4,-12.694,0,0.0506,0.8340000000000001,0.0,0.14800000000000002,0.3,122.939,195250,4
TRAFICANTE,Alonzo,spotify:track:3mTOTW2KnH9pJlpy5o3cJK,0.785,0.8340000000000001,5,-6.336,0,0.0658,0.045,0.0,0.0777,0.6859999999999999,133.945,189627,4
Bam Bam (feat. Ed Sheeran),Camila Cabello,spotify:track:0QBzMgT7NIeoCYy3sJCof1,0.7559999999999999,0.6970000000000001,8,-6.377000000000002,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
Intro,Josman,spotify:track:6qvyN6NTUpdfOJRYjtSSd7,0.755,0.636,8,-6.529,0,0.281,0.324,0.0,0.0717,0.523,144.953,147720,4
Passat,SDM,spotify:track:5yHoANSze7sGzhn9MUarH3,0.665,0.54,1,-8.373,0,0.129,0.7490000000000001,0.0,0.109,0.4370000000000001,139.97799999999998,203133,4
Clap Your Hands,Kungs,spotify:track:7g7OshelYRRnOSEMmisJVI,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.4200000000000005e-05,0.35600000000000004,0.84,124.006,189880,4
Friendships (Lost My Love),Pascal Letoublon,spotify:track:0lQ2obtzmAsJu9xk3D6FqH,0.787,0.828,11,-3.579,0,0.0297,0.106,0.000605,0.105,0.544,119.953,182700,4
El Incomprendido,Farruko,spotify:track:493Rk3iS7rs8uPfpnfm95u,0.754,0.841,11,-3.19,1,0.135,0.113,0.0,0.466,0.541,128.019,267547,4
Kongolais mauvais (feat. Ninho),DA Uzi,spotify:track:5HdOXndzIyhcLTMhAJQkUs,0.644,0.81,10,-5.55,1,0.4920000000000001,0.532,0.0,0.345,0.7340000000000001,82.337,229227,3
Dernier Etage,Yaro,spotify:track:4cEmTY9s8re8z5Lg9u3uXH,0.7609999999999999,0.329,7,-12.665,0,0.231,0.28800000000000003,7.42e-05,0.316,0.483,121.004,210000,4
Nique la BAC,Lorenzo,spotify:track:4VzalpjiHHK5cKSgrZuNjg,0.952,0.8909999999999999,5,-5.7189999999999985,0,0.337,0.0374,0.0,0.0862,0.701,116.054,147293,4
Soleil,Romeo Elvis,spotify:track:5SNfvgi4TUwx4Si0lFn3G2,0.7020000000000001,0.7659999999999999,4,-6.5779999999999985,0,0.172,0.259,0.0,0.174,0.512,124.011,172293,4
JCVD,Jul,spotify:track:10iesoGb4mCYTcur1QfdO9,0.847,0.83,7,-5.872999999999998,0,0.034,0.479,2.54e-06,0.068,0.895,130.05,194267,4
Du lundi au lundi,Niska,spotify:track:4vR2zaYAW8CtzwodeFufkI,0.8190000000000001,0.6709999999999999,9,-5.765,1,0.195,0.17600000000000002,7.05e-06,0.0757,0.406,130.875,165827,4
